title,description
Occupational Health and Safety Technicians,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers."
Athletic Trainers,"Evaluate and advise individuals to assist recovery from or avoid athletic-related injuries or illnesses, or maintain peak physical fitness. May provide first aid or emergency care."
Genetic Counselors,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling."
"Healthcare Practitioners and Technical Workers, All Other",All healthcare practitioners and technical workers not listed separately.
Midwives,Provide prenatal care and childbirth assistance.
Home Health Aides,"Provide routine individualized healthcare such as changing bandages and dressing wounds, and applying topical medications to the elderly, convalescents, or persons with disabilities at the patient's home or in a care facility. Monitor or report changes in health status. May also provide personal care such as bathing, dressing, and grooming of patient."
Psychiatric Aides,"Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies."
Nursing Assistants,"Provide basic patient care under direction of nursing staff. Perform duties such as feed, bathe, dress, groom, or move patients, or change linens. May transfer or transport patients. Includes nursing care attendants, nursing aides, and nursing attendants."
Orderlies,"Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment."
Occupational Therapy Assistants,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with State laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training."
Occupational Therapy Aides,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room."
Physical Therapist Assistants,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with State laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training."
Physical Therapist Aides,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area."
Massage Therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."
Dental Assistants,"Assist dentist, set up equipment, prepare patient for treatment, and keep records."
Medical Assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician."
Medical Equipment Preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."
Medical Transcriptionists,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction."
Pharmacy Aides,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling."
Veterinary Assistants and Laboratory Animal Caretakers,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine post-operative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists."
Phlebotomists,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions."
"Healthcare Support Workers, All Other",All healthcare support workers not listed separately.
Speech-Language Pathology Assistants,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems."
Endoscopy Technicians,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.
First-Line Supervisors of Correctional Officers,Directly supervise and coordinate activities of correctional officers and jailers.
First-Line Supervisors of Police and Detectives,Directly supervise and coordinate activities of members of police force.
First-Line Supervisors of Fire Fighting and Prevention Workers,Directly supervise and coordinate activities of workers engaged in fire fighting and fire prevention and control.
Municipal Fire Fighting and Prevention Supervisors,"Supervise fire fighters who control and extinguish municipal fires, protect life and property, and conduct rescue efforts."
Forest Fire Fighting and Prevention Supervisors,Supervise fire fighters who control and suppress fires in forests or vacant public land.
"First-Line Supervisors of Protective Service Workers, All Other",All protective service supervisors not listed separately above.
Firefighters,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance."
Municipal Firefighters,"Control and extinguish municipal fires, protect life and property and conduct rescue efforts."
Forest Firefighters,Control and suppress fires in forests or vacant public land.
Fire Inspectors and Investigators,"Inspect buildings to detect fire hazards and enforce local ordinances and State laws, or investigate and gather facts to determine cause of fires and explosions."
Fire Inspectors,Inspect buildings and equipment to detect fire hazards and enforce state and local regulations.
Fire Investigators,Conduct investigations to determine causes of fires and explosions.
Forest Fire Inspectors and Prevention Specialists,"Enforce fire regulations, inspect forest for fire hazards and recommend forest fire prevention or control measures. May report forest fires and weather conditions."
Bailiffs,Maintain order in courts of law.
Correctional Officers and Jailers,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."
Detectives and Criminal Investigators,"Conduct investigations related to suspected violations of Federal, State, or local laws to prevent or solve crimes."
Police Detectives,Conduct investigations to prevent crimes or solve criminal cases.
Police Identification and Records Officers,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases."
Criminal Investigators and Special Agents,"Investigate alleged or suspected criminal violations of Federal, state, or local laws to determine if evidence is sufficient to recommend prosecution."
Immigration and Customs Inspectors,"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations."
Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism."
Fish and Game Wardens,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.
Parking Enforcement Workers,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles."
Police and Sheriff's Patrol Officers,"Maintain order and protect life and property by enforcing local, tribal, State, or Federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts."
Police Patrol Officers,"Patrol assigned area to enforce laws and ordinances, regulate traffic, control crowds, prevent crime, and arrest violators."
Sheriffs and Deputy Sheriffs,"Enforce law and order in rural or unincorporated districts or serve legal processes of courts. May patrol courthouse, guard court or grand jury, or escort defendants."
Transit and Railroad Police,"Protect and police railroad and transit property, employees, or passengers."
Animal Control Workers,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."
Private Detectives and Investigators,"Gather, analyze, compile and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment."
Gaming Surveillance Officers and Gaming Investigators,"Act as oversight and security agent for management and customers. Observe casino or casino hotel operation for irregular activities such as cheating or theft by either employees or patrons. May use one-way mirrors above the casino floor, cashier's cage, and from desk. Use of audio/video equipment is also common to observe operation of the business. Usually required to provide verbal and written reports of all violations and suspicious behavior to supervisor."
Security Guards,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment."
Crossing Guards,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Monitor recreational areas, such as pools, beaches, or ski slopes to provide assistance and protection to participants."
Transportation Security Screeners,"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints."
"Protective Service Workers, All Other",All protective service workers not listed separately.
Retail Loss Prevention Specialists,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets."
Chefs and Head Cooks,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts."
First-Line Supervisors of Food Preparation and Serving Workers,Directly supervise and coordinate activities of workers engaged in preparing and serving food.
"Cooks, Fast Food",Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.
"Cooks, Institution and Cafeteria","Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias."
"Cooks, Private Household",Prepare meals in private homes. Includes personal chefs.
"Cooks, Restaurant","Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu."
"Cooks, Short Order",Prepare and cook to order a variety of foods that require only a short preparation time. May take orders from customers and serve patrons at counters or tables.
"Cooks, All Other",All cooks not listed separately.
Food Preparation Workers,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."
Bartenders,"Mix and serve drinks to patrons, directly or through waitstaff."
"Combined Food Preparation and Serving Workers, Including Fast Food",Perform duties which combine preparing and serving food and nonalcoholic beverages.
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Serve food to diners at counter or from a steam table.
Baristas,Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.
Waiters and Waitresses,Take orders and serve food and beverages to patrons at tables in dining establishment.
"Food Servers, Nonrestaurant","Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars."
Dining Room and Cafeteria Attendants and Bartender Helpers,"Facilitate food service. Clean tables, remove dirty dishes, replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons."
Dishwashers,"Clean dishes, kitchen, food preparation equipment, or utensils."
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."
"Food Preparation and Serving Related Workers, All Other",All food preparation and serving related workers not listed separately.
First-Line Supervisors of Housekeeping and Janitorial Workers,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs."
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."
Maids and Housekeeping Cleaners,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming."
"Building Cleaning Workers, All Other",All building cleaning workers not listed separately.
Pest Control Workers,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.
Landscaping and Groundskeeping Workers,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units."
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops. Usually requires specific training and State or Federal certification."
Tree Trimmers and Pruners,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts."
"Grounds Maintenance Workers, All Other",All grounds maintenance workers not listed separately.
Gaming Supervisors,Supervise and coordinate activities of workers in assigned gaming areas. Circulate among tables and observe operations. Ensure that stations and games are covered for each shift. May explain and interpret operating rules of house to patrons. May plan and organize activities and services for guests in hotels/casinos. May address service complaints.
Slot Supervisors,Supervise and coordinate activities of slot department workers to provide service to patrons. Handle and settle complaints of players. Verify and pay off jackpots. Reset slot machines after payoffs. Make repairs or adjustments to slot machines or recommend removal of slot machines for repair. Report hazards and enforce safety rules.
First-Line Supervisors of Personal Service Workers,"Directly supervise and coordinate activities of personal service workers, such as flight attendants, hairdressers, or caddies."
Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities."
Animal Trainers,"Train animals for riding, harness, security, performance, or obedience, or assisting persons with disabilities. Accustom animals to human voice and contact; and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team."
Nonfarm Animal Caretakers,"Feed, water, groom, bathe, exercise, or otherwise care for pets and other nonfarm animals, such as dogs, cats, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks."
Gaming Dealers,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gaming equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands."
Gaming and Sports Book Writers and Runners,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and payout winnings for those wagers."
"Gaming Service Workers, All Other",All gaming service workers not listed separately.
Motion Picture Projectionists,Set up and operate motion picture projection and related sound reproduction equipment.
"Ushers, Lobby Attendants, and Ticket Takers","Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and locating such facilities as rest rooms and telephones."
Amusement and Recreation Attendants,"Perform variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides."
Costume Attendants,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances."
"Locker Room, Coatroom, and Dressing Room Attendants","Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms."
"Entertainment Attendants and Related Workers, All Other",All entertainment attendants and related workers not listed separately.
Embalmers,Prepare bodies for interment in conformity with legal requirements.
Funeral Attendants,"Perform variety of tasks during funeral, such as placing casket in parlor or chapel prior to service; arranging floral offerings or lights around casket; directing or escorting mourners; closing casket; and issuing and storing funeral equipment."
"Morticians, Undertakers, and Funeral Directors","Perform various tasks to arrange and direct funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners."
Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair, trimming beards, or giving shaves."
"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as shampooing, cutting, coloring, and styling hair, and massaging and treating scalp. May apply makeup, dress wigs, perform hair removal, and provide nail and skin care services."
"Makeup Artists, Theatrical and Performance","Apply makeup to performers to reflect period, setting, and situation of their role."
Manicurists and Pedicurists,Clean and shape customers' fingernails and toenails. May polish or decorate nails.
Shampooers,Shampoo and rinse customers' hair.
Skincare Specialists,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.
Baggage Porters and Bellhops,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.
Concierges,"Assist patrons at hotel, apartment, or office building with personal services. May take messages, arrange or give advice on transportation, business services or entertainment, or monitor guest requests for housekeeping and maintenance."
Tour Guides and Escorts,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries."
Travel Guides,"Plan, organize, and conduct long distance travel, tours, and expeditions for individuals and groups."
Childcare Workers,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play."
Nannies,"Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation."
Personal Care Aides,"Assist the elderly, convalescents, or persons with disabilities with daily living activities at the person's home or in a care facility. Duties performed at a place of residence may include keeping house (making beds, doing laundry, washing dishes) and preparing meals. May provide assistance at non-residential care facilities. May advise families, the elderly, convalescents, and persons with disabilities regarding such things as nutrition, cleanliness, and household activities."
Fitness Trainers and Aerobics Instructors,"Instruct or coach groups or individuals in exercise activities. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills."
Recreation Workers,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members."
Residential Advisors,"Coordinate activities in residential facilities in secondary and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources."
"Personal Care and Service Workers, All Other",All personal care and service workers not listed separately.
First-Line Supervisors of Retail Sales Workers,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties."
First-Line Supervisors of Non-Retail Sales Workers,"Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties."
Cashiers,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks."
Gaming Change Persons and Booth Cashiers,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers."
Counter and Rental Clerks,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute costs, and accept payment."
Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.
Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers."
Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or the Internet. Includes individuals who obtain leases for outdoor advertising sites or persuade retailers to use sales promotion display items."
Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company."
"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions."
"Sales Agents, Securities and Commodities","Buy and sell securities in investment and trading firms and develop and implement financial plans for individuals, businesses, and organizations."
"Sales Agents, Financial Services","Sell financial services, such as loan, tax, and securities counseling to customers of financial institutions and business establishments."
Securities and Commodities Traders,"Buy and sell securities and commodities to transfer debt, capital, or risk. Establish and negotiate unit prices and terms of sale."
Travel Agents,"Plan and sell transportation and accommodations for travel agency customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems."
"Sales Representatives, Services, All Other",All services sales representatives not listed separately.
Energy Brokers,Buy or sell energy products on the behalf of residential or commercial customers or utilities. Negotiate and oversee contracts for energy sales.
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education."
Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs."
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.
Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.
Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression."
Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans."
Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer."
Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering."
Telemarketers,Solicit donations or orders for goods or services over the telephone.
"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.
"Sales and Related Workers, All Other",All sales and related workers not listed separately.
First-Line Supervisors of Office and Administrative Support Workers,Directly supervise and coordinate the activities of clerical and administrative support workers.
"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages."
Telephone Operators,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls."
"Communications Equipment Operators, All Other",All communications equipment operators not listed separately.
Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; and keeping records of collection and status of accounts."
Billing and Posting Clerks,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods."
Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts."
"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines."
"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers."
Gaming Cage Workers,"In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. May accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction."
Payroll and Timekeeping Clerks,"Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks."
Procurement Clerks,Compile information and records to draw up purchase orders for procurement of materials and services.
Tellers,Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.
"Financial Clerks, All Other",All financial clerks not listed separately.
Brokerage Clerks,"Perform duties related to the purchase, sale or holding of securities. Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings."
Correspondence Clerks,"Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence."
"Court, Municipal, and License Clerks","Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees."
Court Clerks,"Perform clerical duties in court of law; prepare docket of cases to be called; secure information for judges; and contact witnesses, attorneys, and litigants to obtain information for court."
Municipal Clerks,Draft agendas and bylaws for town or city council; record minutes of council meetings; answer official correspondence; keep fiscal records and accounts; and prepare reports on civic needs.
License Clerks,"Issue licenses or permits to qualified applicants. Obtain necessary information, record data, advise applicants on requirements, collect fees, and issue licenses. May conduct oral, written, visual, or performance testing."
"Credit Authorizers, Checkers, and Clerks",Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data; determine credit worthiness; process applications; and notify customers of acceptance or rejection of credit.
Credit Authorizers,Authorize credit charges against customers' accounts.
Credit Checkers,Investigate history and credit standing of individuals or business establishments applying for credit. Telephone or write to credit departments of business and service establishments to obtain information about applicant's credit standing.
Customer Service Representatives,Interact with customers to provide information in response to inquiries about products and services and to handle and resolve complaints.
Patient Representatives,"Assist patients in obtaining services, understanding policies and making health care decisions."
"Eligibility Interviewers, Government Programs","Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing."
File Clerks,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested."
"Hotel, Motel, and Resort Desk Clerks","Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms."
"Library Assistants, Clerical","Compile records, sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials."
Loan Interviewers and Clerks,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan."
New Accounts Clerks,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.
Order Clerks,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints."
"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons."
Receptionists and Information Clerks,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization."
Reservation and Transportation Ticket Agents and Travel Clerks,"Make and confirm reservations for transportation or lodging, or sell transportation tickets. May check baggage and direct passengers to designated concourse, pier, or track; deliver tickets, contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information."
"Information and Record Clerks, All Other",All information and record clerks not listed separately.
Cargo and Freight Agents,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals, and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. Prepare and examine bills of lading to determine shipping charges and tariffs."
Freight Forwarders,"Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation."
